1352Oakland,1353Oakland,1354Oakland,1355Oakland,1356Oakland,1357Oakland,1358Oakland,1359Oakland,1360Oakland,1361Oakland,1362Oakland,1363Oakland,1364Oakland,1365Oakland,1366Oakland,1367Oakland,1368Oakland,1369Oakland,1370Oakland,1371Oakland,1372Oakland,1373Oakland,1374Oakland,1375Oakland,1376Oakland,1377Oakland,1378Oakland,1379Oakland,1380Oakland,1381Oakland,1382Oakland,1383Oakland,1384Oakland,1385Oakland,1386Oakland,1387Oakland,1388Oakland,1389Oakland,1390Oakland,1391Oakland,1392Oakland,1393Oakland,1394Oakland,1395Oakland,1396Oakland,1397Oakland,1398Oakland,1399Oakland,1400Oakland,1401Oakland,1402Oakland,1403Oakland,1404Oakland,1405Oakland,1406Oakland,1407Oakland,1408Oakland,1409Oakland,1410Oakland,1411Oakland,1412Oakland,1413Oakland,1414Oakland,1415Oakland,1416Oakland,1417Oakland,1418Oakland,1419Oakland,1420Oakland,1421Oakland,1422Oakland,1423Oakland,1424Oakland,1425Oakland,1426Oakland,1427Oakland,1428Oakland,1429Oakland,1430Oakland,1431Oakland,1432Oakland,1433Oakland,1434Oakland,1435Oakland,1436Oakland,1437Oakland,1438Oakland,1439Oakland,1440Oakland,1441Oakland,1442Oakland,1443Oakland,1444Oakland,1445Oakland,1446Oakland,1447Oakland,1448Oakland,1449Oakland,1450Oakland,1451Oakland
0,1255.3,1010.9,1930.7,1751.9,2653.4,2509.4,4858,5256.9,8706.9,7609.2,7641.8,5933.9,6279.7,5917.8,5488.3,5436.7,6013,6904.2,6432.6,7674.3,6480.3,5321,5311.6,5548,6111.9,6353.9,4941.7,5624.4,3925.4,2963.8,3499.5,4649.2,1819.6,5632,5837,6690.2,8989.8,7709.1,8261.9,8307.5,8209.8,7539.3,6942.2,7402.8,8455.5,9066.4,9483.9,8554.5,8089.1,8236.4,8826.4,10287.9,9718.1,10181.5,12099.2,11455.8,11334.6,10591.3,9302.1,10427.7,10955.8,9477.3,8962.6,9972.9,11089.9,11078.2,12030.5,12951.7,11811.1,13901.3,12926.2,13826,12931.6,12844.8,11852.2,10356,9790.7,12512.5,12333.5,13260.3,14388.1,15000.9,14774.3,13499.1,16538.1,16204,19222.9,18881.9,19814.1,18546.1,17793.4,17080.4,16112,15608.6,16263.7,17535.8,20106.8,17001.2,17121.8
1127.1,0,1196,2443.1,1652.1,2011.1,1406.3,3475.5,4789.6,8239.5,7141.9,7174.4,5466.6,5812.4,5450.5,5020.9,4969.4,5545.6,6436.9,5965.3,7207,6013,3420.8,3700,3765.6,5644.6,4194.3,3766.7,3842,2629,1788.9,2324.6,3474.2,1957.6,6236.4,6441.5,7294.6,9594.2,8313.6,8232.6,7273.9,6410.9,5060.4,5139.4,5600,7988.1,8599.1,9016.6,6755.6,6290.2,6437.5,7027.5,8489,7919.2,9714.1,11631.9,9657,9535.7,8792.5,7503.2,8628.8,9156.9,7678.4,9567,10577.3,10572,9279.4,10231.7,11152.8,10012.2,13434,11127.3,11958.7,11132.8,11645,10652.4,10960.4,10395.2,13116.9,12937.9,13864.7,14992.5,15605.3,12751.2,12442.8,15928.5,16808.4,18755.6,18414.6,19346.7,19559.3,17770.9,17684.8,16716.4,16213.1,16868.1,18140.2,20711.2,17605.6,17726.2
1010.9,1196,0,758.2,1222.7,2420.8,2450.1,3885.1,5044.1,8494,7396.4,7428.9,5721.1,6066.9,5705,5275.4,5223.9,5800.1,6691.4,6219.8,7461.5,6267.5,5108.1,5098.7,5335.2,5899.1,6141.1,6819.4,5411.6,4117.2,2701,3236.7,4386.3,2830.5,7721.9,7927,8780.2,11079.8,9799.1,9818.7,8859.9,7996.9,7326.5,6729.4,7190,8242.6,8853.6,9271.1,8341.7,7876.2,8023.6,8613.5,10075.1,9505.2,9968.6,11886.4,11243,11121.7,10378.5,9089.3,10214.8,10743,9264.5,10709.6,11346.2,12158,10865.4,11817.7,12738.9,11598.2,13688.5,12713.4,13544.7,12718.8,13231.1,12238.4,12445.9,11880.7,14602.5,14086.7,15350.3,16478.1,15207,14337.3,14028.9,16183,18972,19010.1,18669.1,19601.2,19813.8,18025.4,17286.4,16318.1,16103,18353.7,19625.8,22196.8,19091.2,19211.8
1930.7,2453.6,758.2,0,819.1,2097.8,2589.7,3562.1,4374.7,6898.3,6373.5,7184.7,5476.8,5822.7,5460.8,5031.2,5103,5555.9,6447.1,5975.5,7217.2,6023.2,4214.7,4648.6,4714.2,4910.3,5142.9,5183.7,4790.6,3794.2,3205.8,3646.9,4891.2,3671.8,7784.4,7989.5,8842.6,11142.3,9861.6,9572.3,8613.5,7750.5,7080.1,6483,6943.6,7998.4,8609.4,9026.8,8095.2,7629.8,7777.1,8367.1,9828.7,9258.8,9724.4,11642.1,10996.6,10875.3,10132.1,8842.8,9968.4,10496.6,9018.1,10463.2,11099.8,11911.6,10619,11571.3,12492.4,11351.8,13444.2,12466.9,13298.3,12472.4,12984.7,11992,12508.4,11943.2,14664.9,13840.3,15412.7,16540.5,14960.5,14090.9,13782.5,14941.5,16163.6,18765.8,18424.9,19357,19569.6,17781.1,17040,16071.7,15856.6,18416.1,19688.3,22259.3,19153.6,19274.2
1751.9,1662.5,1274.6,819.1,0,1306.7,1798.6,2771,3811.1,6334.8,5809.9,6393.6,4685.8,5031.6,4669.7,4240.1,4311.9,4764.8,5656.1,5184.5,6426.2,5232.2,3423.6,3857.6,3923.1,4119.2,4351.8,4392.6,3999.5,3003.1,2414.8,2855.8,4100.1,2880.7,6993.3,7198.4,8051.5,10351.2,9070.5,8781.2,7822.4,6959.4,6289,5691.9,6152.5,7207.3,7818.3,8235.8,7304.2,6838.7,6986.1,7576,9037.6,8467.7,8933.3,10851,10205.5,10084.2,9341,8051.8,9177.3,9705.5,8227,9672.1,10308.7,11120.5,9827.9,10780.2,11701.4,10560.7,12653.1,11675.9,12507.2,11681.3,12193.6,11200.9,11717.3,11152.1,13873.9,13049.2,14621.7,15749.4,14169.5,13299.8,12991.4,14150.4,15372.6,17974.7,17633.8,18565.9,18778.5,16990,16248.9,15280.6,15065.5,17625,18897.2,21468.2,18362.6,18483.1
2485.7,2000.9,2252.8,2106.2,1315.1,0,615.5,1464.3,3278,5801.7,4878.1,5066.4,3809.3,4390.9,3730.3,3017.6,3086.1,2974.7,3590.3,3878.6,4609.6,3318,2116.9,2550.8,2616.4,2812.5,3045.1,4080.2,2692.8,1696.4,1739.6,1549.1,3837.8,3699.9,7812.5,6633.8,7486.9,11170.3,7808.2,7083.4,6124.7,5261.7,4587.3,3990.2,4450.8,4932.7,5543.7,7080.3,5606.4,5141,5288.3,5878.3,7339.8,6770,8712.4,8960,8507.8,8386.5,7643.3,6354,7479.6,8007.7,6529.2,7974.4,8610.9,9422.8,8130.2,9082.5,10003.6,8863,11144.4,9978.1,10809.5,9983.6,10495.8,9503.2,9751,11971.3,12827,11351.5,12476.4,13604.2,12471.7,11602,11293.6,12452.7,13674.8,17753.9,17412.9,18345,16108.4,15264.3,14551.2,13582.9,13367.7,15479.8,16751.9,19322.9,16217.3,16337.9
2381.2,1406.3,2450.1,2605.9,1814.8,615.5,0,2087.8,3993.6,6517.3,5593.7,5782,4417.4,4999,5374.5,3625.7,3694.2,3225.6,3954.1,3956.1,4973.5,3300.3,2041.2,2320.5,2386.1,2794.9,2814.8,3849.8,2462.4,1249.5,1342.7,972.3,2971.5,2939.9,6154.3,5767.4,6620.6,8917,7577.9,6853.1,5894.3,5031.4,4357,3759.8,4220.4,4702.4,5313.3,6850,5376.1,4910.6,5058,5647.9,7109.5,6539.6,8309.6,8729.7,8277.4,8156.1,7412.9,6123.7,7249.2,7777.4,6298.9,7744,8380.6,9192.4,7899.8,8852.1,9773.3,8632.6,10914.1,9747.8,10579.1,9753.2,10265.5,9272.8,9520.6,9717.9,12596.6,11121.1,12246.1,13373.8,12241.4,11371.7,11063.3,12222.3,13444.5,16339.2,15998.2,16930.3,15878.1,15033.9,14320.8,13352.5,13137.4,15249.4,16521.6,19092.6,15986.9,16107.5
4751.2,3465.2,3717.1,3570.5,2779.4,1464.3,2088.8,0,1564.4,4660.4,4040.6,4420.6,2477,3058.6,2398,1685.3,1308.6,1630.1,2245.6,2247.5,3264.9,1973.3,652.6,1209.3,2036.2,1467.9,2236.2,3499.9,2112.5,1599.1,2703.1,1897.7,4188.9,5838.9,9951.5,6984.9,7838.1,13309.4,7241.9,6517.1,5558.4,4695.4,4007,3409.9,4212.9,3796.9,4407.8,4825.3,5040.1,4574.7,4722,5312,6126.7,5467,5247.5,7298.8,6528.1,7049.3,7077,5787.7,6913.3,7441.4,5962.9,7408,8044.6,8856.5,7563.9,8516.2,9437.3,8296.7,9500.1,9411.8,10243.2,9417.3,9929.5,8936.9,9184.7,10479.6,12260.6,10785.2,11910.1,13037.9,11905.4,11035.7,10727.3,11004.7,11945.7,14821.7,14480.8,15412.9,15625.5,12774.1,12822.1,13016.5,12801.4,14913.5,16185.6,18756.6,15651,15771.6
5439.7,4812.7,5018.7,4374.7,3811.1,3338.8,3946.9,1582.6,0,2920.1,2300.3,2488.6,626.1,1731.3,1881.2,1294.9,1595,2213.3,2717.6,2396,3647.5,2887.3,2712.6,2829.1,3277.8,2518.9,3150.2,4460.8,4265.4,4081.4,4577.6,4380.1,6671.3,6527.5,10640.1,10845.2,11698.3,13997.9,8215.4,7483.6,6531.9,5668.9,4967.9,4370.8,4684.9,4268.9,4879.8,5297.3,5436.8,5548.2,5695.5,6285.5,6598.7,5939,6154.6,8072.3,7000.1,7521.3,8043.5,6761.2,7879.8,8407.9,6929.5,8374.6,9011.1,9823,8530.4,9482.7,10403.8,8339.9,9874.4,9605.2,10570.1,10383.8,10896,9903.4,10151.2,11446.1,13227.2,11751.7,12876.6,14004.4,12871.9,12002.3,11693.8,11476.7,12417.7,15196,14855.1,15787.2,15999.8,14211.3,13294.1,13181.6,13767.9,15880,17152.1,19723.1,16617.5,16738.1
7817.4,7190.4,7604.6,6464.4,5900.9,5165.1,5789.6,5675.6,2924.1,0,2993.2,3060,3120.7,3734,4280.6,3694.4,3994.4,4612.7,5117,5021.2,5979.1,5286.7,6326.9,6317.5,6554,4918.4,7359.8,8038.1,6630.3,5907.7,6403.9,6206.3,8497.5,8905.1,13017.7,13222.8,14075.9,14802.3,11762.2,11037.5,10078.7,9215.7,8545.3,7948.2,8408.8,6668.3,7279.3,7696.7,9560.5,9095,9242.3,9832.3,9125.5,10724,8625.2,10542.9,12461.8,12340.5,11597.3,10308,11433.6,11961.8,10483.3,11928.4,12565,13376.8,12084.2,13036.5,13957.6,12817,12345,12921.4,14763.5,13937.6,14449.9,13457.2,13705,14999.9,16781,15305.5,16430.4,17558.2,16425.7,15556.1,15247.7,14839.6,17628.5,17666.6,17325.7,18257.8,18470.4,16681.9,16252.5,17536.9,17321.8,19433.8,20706,23277,20171.3,20291.9
7865,7238,7652.2,6373.5,5809.9,5337.6,5945.7,4009.8,2333.6,2933.5,0,508.2,1866,2019,2529.9,2448,3403.9,3736.2,3516.3,2766.9,3724.8,4696.2,4521.5,4638,5086.7,4327.8,4959.1,6269.7,6074.3,6080.2,6576.4,6378.9,8670.1,8952.8,13065.4,13270.4,14123.6,16423.2,10024.3,9292.5,8693.4,7477.8,6776.8,6179.7,5483.6,5067.5,5678.5,6096,6235.5,6995.9,7593.6,7195.1,6871.3,6211.5,6234.3,8152,7336.2,7896.7,8214.4,8922.7,8979.6,10216.8,8738.3,10183.5,10820,11631.9,10339.3,8979.6,9639.4,8715.3,9954.1,10530.5,11495.3,11145.8,12027.6,11712.3,11960.1,13255,15036.1,13560.6,14685.5,14388.4,13337.7,13084.1,12356.6,12448.7,15237.7,15275.7,14934.8,15866.9,16079.5,14291,13861.6,14106.8,15009.1,15486,18961,21532,18426.4,17711.1
7858.5,7231.6,7645.7,7278.5,6487.4,5098.2,5706.3,4386.8,2445.7,2976.5,508.2,0,1934.4,1455.3,1966.2,2697.9,3441.6,3865.2,2952.6,2203.2,3161.1,4932.5,4757.8,4874.3,5323,4564.1,5195.4,6506,6469.1,5704.3,6337,6002.9,8294.2,8946.3,13058.9,13264,14117.1,16416.7,10385.2,8991.6,8129.7,7215.3,7013.1,5877.8,4919.9,4503.8,5114.8,5532.3,5671.8,6432.2,7029.9,6631.3,6307.6,5647.8,5670.6,7588.3,6772.5,7333,7650.7,8359,8415.9,11800.5,10322.1,9882.5,12403.8,13215.6,11923,8415.9,9075.7,8151.6,9390.4,9966.8,10931.6,10582.1,11463.9,13296,13543.8,12954.1,16619.8,13089.5,16269.2,13824.7,12774,12520.4,11792.9,11885,14673.9,14712,14371.1,15303.2,15515.8,13727.3,13297.9,13543.1,14445.4,14922.3,20544.8,23115.7,17692.7,17147.4
6189.7,5562.7,5976.9,5096.6,4818.6,3684.6,4309.2,2302.3,626.1,3141.7,1866,1954.9,0,1202.5,1327.2,772.8,1696.4,2314.7,2313.5,1841.9,3093.4,2988.7,2814,2930.5,3379.2,2620.3,3251.6,4562.2,4366.8,3760.5,4940,4059.1,6350.4,7277.5,11390.1,11595.2,12448.3,14747.9,8316.8,7585,6633.3,5770.3,5069.3,4472.2,4280.8,3864.8,4475.7,4893.2,5032.7,5649.6,5796.9,6518.4,6194.7,5534.9,5600.6,7518.3,6596.1,7117.2,7474.3,6862.6,7981.2,8509.3,7030.8,8476,9112.5,9924.4,8631.8,8239.4,8899.3,7935.8,9320.4,9201.1,10166,9816.5,10997.4,10004.8,10252.6,11547.5,13328.6,11853.1,12978,14105.8,12008.4,12103.6,11027.3,11072.6,14603.9,14642,14301,15233.2,15445.7,13657.3,12890,12777.5,13869.3,15981.4,17253.5,19824.5,16718.9,16839.5
6498.7,5871.8,6285.9,5918.7,5127.6,4391.5,5016,3009.1,1731.3,3755.1,1985.3,1440.7,1202.5,0,588.5,1320.2,2104.3,2527.9,1574.9,1103.3,2373.5,3595.1,3420.5,3536.9,3985.7,3226.8,3858,5168.6,5109.3,4366.9,5056.6,4665.6,6956.8,7586.5,11699.1,11904.2,12757.3,15056.9,8384.1,9516.5,6465.4,5837.6,5675.8,4500.1,3542.2,3126.2,3737.1,4154.6,4294.1,5054.5,6178.4,5779.8,5456.1,4796.3,4880.6,6798.4,5857.5,6378.6,6735.7,6929.9,7500.8,10440.7,8962.3,10407.4,11044,11855.8,10563.2,7500.8,8160.7,7197.2,8600.5,8462.5,9427.4,9077.9,9959.7,11936.2,12184,15857.9,15260,13784.5,14909.4,12320.5,11269.8,11016.2,10288.7,10334,11275,13922.1,13581.1,14513.2,14725.8,12937.4,12151.4,12038.9,12941.2,13418.1,19184.9,21755.9,18650.3,14132.6
8968.3,8341.3,8755.5,8388.3,7597.2,6366.8,6187.6,4469.4,5139.6,7394.3,5023.2,4478.6,4431.4,3692.9,0,4075.9,3453.9,3129.3,2310,2699,1784.9,4944.8,4770.1,4509.4,5335.3,4576.4,5207.7,5476.9,6322.9,5716.6,6406.2,6015.3,8306.5,10056.1,14168.7,14373.8,11695.5,12304.9,9264.8,7871.2,7009.2,6085.1,5984,4841.4,3751.1,3335,3792.4,4034.7,4512.1,5301.9,5909.5,5510.9,5187.2,4527.4,4292.1,6209.8,5652.1,7081.2,6530.3,7238.6,7295.5,9014.5,7536.1,8762.1,9617.8,10963.1,9457.7,8305.7,8706.5,7514.6,8011.9,8588.2,9553.1,9203.6,10085.4,10510,11291.3,11833.7,13833.8,11711,13056.9,12446.2,11395.5,11141.9,10414.4,10506.5,13295.4,13333.5,12992.6,13924.7,14137.3,12348.8,11919.4,12164.6,13066.9,13543.8,17758.7,19859.7,16314.2,15768.9
5681.9,5054.9,5469,5101.8,4310.7,3130.9,3755.4,1748.5,1134.4,3554.5,2398.3,2541.9,723,1179.9,818,0,1034.8,1686.5,1804.3,1332.7,2585.5,2434.9,2260.3,2376.7,2825.5,2066.6,2697.8,4008.4,3813,3206.7,4386.2,3505.4,5796.6,6769.6,10882.2,11087.3,11940.4,14240.1,7763.1,7031.3,6079.5,5216.6,4515.6,3918.4,3771.7,3355.6,3966.6,4384,4523.5,5095.9,5243.2,6009.2,5685.5,5025.7,5092.7,7010.4,6086.9,6608,6965.1,6308.9,7427.5,7955.6,6477.1,7922.2,8558.8,9370.6,8078,7730.3,8390.1,7426.6,8812.5,9388.9,10353.7,10004.2,10443.7,9451,9698.8,10993.7,12774.8,11299.3,12424.3,13552,12196.1,11549.9,11215,11307.1,14096,14134.1,13793.2,14725.3,14937.9,13149.4,12720,12965.2,13315.6,15427.6,16699.8,19270.8,16165.1,16285.7
5647,5020.1,5434.2,5067,4275.9,3023.8,3648.3,1308.6,1568.2,3988.2,2873.5,2934.7,1198.2,1572.7,1182.5,752.5,0,869.8,1340.2,921.1,2359.5,1937,1762.4,1878.8,2327.6,1568.7,2199.9,3510.5,3315.1,2708.8,3398.5,3007.5,5298.7,6734.8,10847.4,11052.5,11905.6,14205.2,7265.2,6533.4,5581.6,4718.7,4017.7,3420.5,3307.5,2891.4,3502.4,3919.9,4059.3,4598,4745.3,5545.1,5221.3,4561.6,4342.1,6393.3,5622.7,6143.9,6501,5811,6929.5,7457.7,5979.2,7424.3,8060.9,8872.7,7580.1,7266.1,7926,6962.4,8594.7,8227.8,9192.7,9433.5,9945.8,8953.1,9200.9,10495.8,12276.9,10801.4,11926.3,13054.1,11035,11052,10743.6,10099.3,11040.3,13916.3,13575.3,14507.5,14720,11868.7,11916.6,11804.1,12817.7,14929.7,16201.9,18772.9,15667.2,15787.8
5916,5289.1,5703.2,5336,4544.9,3017.5,3161.6,1672.8,2347.2,4767.3,3956.5,3412,1670.7,2111.3,1749.4,1225,500.5,0,1269.2,1271.1,2288.5,1918.8,1744.1,1860.6,2309.4,1550.4,2181.7,3492.3,3296.9,2690.6,3380.2,2989.3,5280.5,7003.8,11116.4,8076.5,8929.6,10287,7247,6515.2,5563.4,4700.4,3999.4,3402.3,3236.5,2820.5,3431.4,3848.9,3988.4,4579.7,4727.1,5474.1,5150.3,4490.6,4271.1,6322.4,5551.8,6072.9,6430,5792.8,6911.3,7439.4,5961,7406.1,8042.7,8854.5,7561.9,7195.1,7855,6891.5,8523.7,8156.8,9121.7,9415.3,9927.5,8934.9,9182.7,10477.6,12258.7,10783.2,11908.1,13035.9,10964.1,11033.8,10725.3,10028.3,10969.3,13845.3,13504.4,14436.5,14649.1,11797.7,11845.7,11733.2,12799.4,14911.5,16183.6,18754.6,15649,15769.6
7072.4,6445.5,6859.6,6492.4,5701.3,4421.3,4242.1,2523.9,2965.7,5386.2,3161.7,2617.2,2594.4,1855.8,1630.2,2150.1,1508.4,1221.8,0,753.5,1019.5,2999.3,2824.6,2941.1,3389.9,2630.9,3262.2,4572.8,4377.4,3771.1,4460.7,4069.8,6361,8160.2,12272.8,12477.9,9581,10190.4,7150.3,6766.4,5904.5,4603.8,5079.9,3266.3,2308.4,1892.3,2503.3,2920.8,3060.3,3820.7,4804.7,4406.2,4082.4,3422.6,2997.7,5437.9,4547.3,5107.8,5425.6,6133.8,6190.7,7909.8,6431.3,7657.4,8513,9324.8,7547.6,6190.7,6850.6,5926.4,7240,7191.8,8156.7,7807.1,8688.9,9405.3,9653,10728.9,12729,10314.6,12378.5,11049.7,9999,9745.4,9017.9,9063.3,10004.2,12561.6,12220.6,13152.7,13365.3,10729.7,10880.6,10768.1,11670.4,12147.3,16654,19225,13407.1,12861.8
6322.2,5695.2,6109.4,5742.1,4951,4144.5,3965.3,2247.1,2335.2,4913.2,2688.7,2144.2,1793.4,1241.8,879.9,1418.8,1231.6,1655.3,702.3,0,1490.6,2722.5,2547.8,2664.3,3113,2354.1,2985.4,4296,4100.6,3494.3,4183.9,3793,6084.2,7409.9,11522.5,11727.6,12580.7,14880.4,7511.5,6689.9,5592.7,4965,4803.1,3627.5,2669.6,2253.5,2864.5,3282,3421.5,4181.9,5305.7,4907.2,4583.4,3923.7,3468.8,5755.5,4984.8,5506,5863.1,6057.3,6628.2,8243.1,6764.7,7580.8,8846.4,9658.2,8365.6,6628.2,7288.1,6324.5,7721.5,7589.9,8554.8,8205.2,9087,9738.6,9986.4,10652.4,13062.4,10712.7,12711.8,11447.8,10397.1,10143.6,9416.1,9461.4,10402.4,13043.1,12702.1,13634.2,13846.8,11230.8,11278.7,11166.2,12068.5,12545.5,16987.3,19558.3,13805.2,13259.9
12297.1,11670.1,12084.3,11717.1,10926,10356.9,10116.9,7642.5,8084.3,10862.5,8246.5,7702,7768.3,7216.8,6854.9,7393.7,6627,6274.7,5423.3,5838.3,0,7216.4,7347.8,7190.8,7607,6848,6530.1,7961.9,8151.4,9402.1,10099.7,9700.8,11992,13384.9,13937.2,9700.9,10900.1,11509.4,8469.4,7075.8,6213.8,6590.5,7233.5,5809.1,5489.2,4578.2,4323.9,3863.9,4604.6,5110.1,5114,4715.5,4053.2,3420.7,2500.7,4418.4,4518.4,5289.8,6446.7,6443.2,6592.1,7923.8,6740.6,7966.7,8761.6,9171.7,7666.3,6514.2,6915.1,5723.2,6220.5,6796.8,7761.7,7412.1,8293.9,9360.1,9499.9,11038.2,12977.6,9919.6,11265.5,10654.7,9604,9350.5,8623,8715.1,11504,11542.1,11201.1,12133.3,12345.8,10557.4,10127.9,10373.1,11275.4,11752.4,16525.8,18068.2,14522.8,13977.5
6749,6122.1,6536.2,6510.3,5719.2,3616.5,4055.4,2271.8,3180.2,5600.3,4980.5,5176.3,3416.8,3875.6,3513.7,2625.1,2250,1932.8,3033.5,3035.4,3199.2,0,1948.9,1393.5,1159.5,1009.5,958.5,2269.1,2073.7,3340.7,4038.2,3639.3,5930.5,7836.8,11949.4,6160.4,8454.5,9063.8,6023.8,5292,4340.2,3477.3,2776.2,2179.1,2299.2,2781.1,3392.1,3339.6,2810.9,3356.5,3503.9,4093.8,5555.4,4985.5,5177.4,7168.5,6716.3,6595,5851.8,4569.6,5688.1,6216.2,4737.8,6182.9,6819.5,7631.3,6338.7,7291,8212.1,7071.5,9352.9,8186.6,9018,8192.1,8704.4,7711.7,7959.5,9254.4,11035.5,9560,10684.9,11812.7,10680.2,9810.6,9502.1,10661.2,11883.3,14778,14437.1,15369.2,14316.9,13472.8,12759.7,11791.4,11576.2,13688.3,14960.4,17531.4,14425.8,14546.4
5346.2,3313.2,5133.4,4223.1,3432,2116.9,2037.4,652.6,2701.2,5121.2,4501.4,4697.2,2937.8,3396.6,3034.7,2146.1,1770.9,1705.6,2554.5,2556.4,2972,1650,0,688.7,1523.8,1144.5,1952.5,2987.6,1600.2,1566.4,2256,1865,4156.3,4585.2,10546.6,7049.8,7902.9,9769.6,6729.6,6004.8,5046,4183.1,3494.7,2897.6,3358.2,3293.8,3904.8,4322.3,4527.8,4062.3,4209.7,4799.6,6261.2,5691.3,4950.2,7881.4,7429.1,7307.8,6564.6,5275.4,6400.9,6929.1,5450.6,6895.7,7532.3,8344.1,7051.5,8003.8,8925,7784.3,10065.8,8899.5,9730.8,8904.9,9417.2,8424.5,8672.3,9967.2,11748.3,10272.8,11397.8,12525.5,11393.1,10523.4,10215,11374,12596.2,14514.1,14173.1,15105.3,15029.8,14185.6,13472.5,12504.2,12289.1,14401.1,15673.3,18244.3,15138.6,15259.2
